surface,player_1_win,player_1,Player_1_hand,Player_1_age,player_2,Player_2_hand,Player_2_age
Clay,0,Rogerio Dutra Silva,R,33.48939083,Horacio Zeballos,L,32.26009582
Clay,0,Mikhail Youzhny,R,35.09924709,Joao Sousa,R,28.33675565
Clay,0,Carlos Berlocq,R,34.48870637,Gerald Melzer,L,27.04996578
Clay,0,Robin Haase,R,30.31895962,Santiago Giraldo,R,29.67556468
Clay,1,Jiri Vesely,L,24.05749487,Yannick Hanfmann,U,25.71389459
Clay,0,Facundo Bagnis,L,27.42231348,Philipp Kohlschreiber,R,33.79055441
Clay,0,Maximilian Marterer,L,22.12731006,Dusan Lajovic,R,27.08555784
Clay,0,Tommy Haas,R,39.32648871,Jan Lennard Struff,R,27.26625599
Clay,0,Alexandr Dolgopolov,R,28.72826831,Thomaz Bellucci,L,29.58521561
Clay,1,Miljan Zekic,U,29.0513347,Andrey Kuznetsov,R,26.4366872
Hard,1,Sam Querrey,R,29.81519507,Thanasi Kokkinakis,R,21.30595483
Hard,1,Thanasi Kokkinakis,R,21.30595483,Tomas Berdych,R,31.86858316
Hard,0,Damir Dzumhur,R,25.19644079,Sam Querrey,R,29.81519507
Hard,0,Adrian Mannarino,L,29.08692676,Tomas Berdych,R,31.86858316
Hard,1,Thanasi Kokkinakis,R,21.30595483,Taylor Harry Fritz,R,19.75633128
Hard,1,Damir Dzumhur,R,25.19644079,Feliciano Lopez,L,35.86036961
Hard,1,Sam Querrey,R,29.81519507,Vincent Millot,L,31.49897331
Hard,1,Tomas Berdych,R,31.86858316,Akira Santillan,R,20.19164956
Hard,1,Adrian Mannarino,L,29.08692676,Bjorn Fratangelo,R,24.03285421
Hard,0,Albert Ramos,L,29.53593429,Taylor Harry Fritz,R,19.75633128
Hard,1,Thanasi Kokkinakis,R,21.30595483,Peter Polansky,R,29.12525667
Hard,1,Damir Dzumhur,R,25.19644079,Quentin Halys,R,20.76112252
Hard,1,Feliciano Lopez,L,35.86036961,Matthew Ebden,R,29.67830253
Hard,1,Vincent Millot,L,31.49897331,Fernando Verdasco,L,33.70841889
Hard,0,Evan King,L,25.34976044,Sam Querrey,R,29.81519507
Hard,1,Akira Santillan,R,20.19164956,Konstantin Kravchuk,R,32.43258042
Hard,0,Tatsuma Ito,R,29.2019165,Bjorn Fratangelo,R,24.03285421
Hard,0,Jason Jung,R,28.12594114,Adrian Mannarino,L,29.08692676
Hard,1,Taylor Harry Fritz,R,19.75633128,Mikhail Kukushkin,R,29.59616701
Hard,0,Yasutaka Uchiyama,R,24.98562628,Peter Polansky,R,29.12525667
Hard,1,Thanasi Kokkinakis,R,21.30595483,Francis Tiafoe,R,19.52635181
Hard,0,Ivo Karlovic,R,38.4202601,Quentin Halys,R,20.76112252
Hard,1,Damir Dzumhur,R,25.19644079,Taro Daniel,R,24.5065024
Hard,1,Matthew Ebden,R,29.67830253,Dennis Novikov,R,23.73169062
Hard,1,Fernando Verdasco,L,33.70841889,Ernesto Escobedo,R,21.07323751
Hard,1,Vincent Millot,L,31.49897331,Brydan Klein,R,27.58110883
Hard,1,Evan King,L,25.34976044,Manuel Sanchez,R,26.56810404
